"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1785,"mm"

"time","x","y"
0.000,-30.62212455,-44.27573004
0.017,-30.54258323,-43.33738109
0.033,-30.84341505,-42.84433803
0.050,-30.41793175,-41.6650965
0.067,-30.41680182,-40.13891416
0.083,-30.47985178,-39.25968379
0.100,-30.23264246,-38.32531163
0.117,-29.709546,-37.72752776
0.133,-29.40497238,-36.52544396
0.150,-29.12275514,-36.24336432
0.167,-28.68435771,-35.42416008
0.183,-28.13471672,-34.69579041
0.200,-27.2530067,-33.79640181
0.217,-27.19716693,-33.06318979
0.233,-27.11063536,-32.43175809
0.250,-26.31649135,-31.84873673
0.267,-26.59402302,-31.37017414
0.283,-25.83270899,-30.63164432
0.300,-25.57848425,-30.30980315
0.317,-25.47504921,-29.88938976
0.333,-25.13494296,-29.72584579
0.350,-24.919427,-29.57269427
0.367,-23.94046195,-29.13385151
0.383,-24.01803054,-28.84619225
0.400,-23.5366755,-28.43467314
0.417,-22.64790936,-27.99393275
0.433,-22.17911466,-27.60324688
0.450,-21.52875293,-27.16108288
0.467,-20.80619131,-26.801027
0.483,-20.15952613,-26.41992005
0.500,-19.25215922,-25.95779965
0.517,-18.49559776,-25.78602768
0.533,-18.2795094,-25.54616627
0.550,-17.6357227,-25.53817753
0.567,-17.31113174,-25.20301994
0.583,-16.76791992,-25.09063477
0.600,-16.19401408,-25.20284624
0.617,-15.85383828,-24.88105248
0.633,-15.72200332,-24.86983281
0.650,-15.04163409,-25.0870602
0.667,-14.5737544,-24.96631008
0.683,-14.16924432,-24.97702623
0.700,-13.72910133,-25.24393865
0.717,-13.02381301,-25.24450469
0.733,-12.71581573,-25.21942488
0.750,-12.16540493,-25.45815728
0.767,-11.8402193,-25.53568713
0.783,-11.15140301,-25.724956
0.800,-11.15114169,-25.72271663
0.817,-10.49702985,-25.64489368
0.833,-9.665606682,-26.28111079
0.850,-9.033045135,-26.73483294
0.867,-8.542999022,-27.08517123
0.883,-8.256333073,-27.46257819
0.900,-7.734854445,-27.83880803
0.917,-7.184602161,-28.39041749
0.933,-6.589812992,-29.00518701
0.950,-6.027852085,-29.75585169
0.967,-5.448214286,-30.07826727
0.983,-5.364618478,-30.68654865
1.000,-4.786097489,-31.39806297
1.017,-3.703641732,-32.09822835
1.033,-3.520127953,-32.69214567
1.050,-3.048668959,-33.2955943
1.067,-2.205094044,-33.94649295
1.083,-1.91855315,-34.49725394
1.100,-1.552582645,-35.53930047
1.117,-0.5363502358,-36.07205189
1.133,0.1219304296,-37.2255272
1.150,0.005014792899,-38.26788462
1.167,0.3647510908,-39.13258132
1.183,0.7788656213,-40.23690453
1.200,1.5863289,-41.29333565
1.217,1.942958515,-42.15126538
1.233,2.430306183,-43.31386742
1.250,2.912330475,-44.65517052
1.267,3.82763789,-45.41001199
1.283,4.760231795,-46.42701452
1.300,5.851625249,-47.05057157
1.317,6.588672496,-47.44113672
1.333,7.451106459,-47.82900718
1.350,7.667374402,-48.54201555
1.367,8.442807877,-49.70972111
1.383,9.545007025,-51.19192593
1.400,10.51716867,-51.99361446
1.417,10.65331325,-52.72879518
1.433,11.25915663,-53.54906627
1.450,11.9364759,-54.29445783
1.467,11.36790865,-54.81926082
1.483,11.74450879,-55.53088059
1.500,12.30439406,-56.22679575
1.517,12.17602163,-56.78521635
1.533,11.86669162,-57.25276946
1.550,11.89146317,-57.56757406
1.567,12.24015638,-58.08467322
1.583,11.8863314,-58.43957751
1.600,11.74664928,-58.96110554
1.617,11.52804217,-59.27054217
1.633,11.60721308,-60.19902689
1.650,11.02976286,-60.66710209
1.667,11.18120221,-61.41049799
1.683,10.86446493,-62.2029474
1.700,10.16728148,-62.86587811
1.717,9.855758427,-63.81076445
1.733,9.598747485,-64.75616197
1.750,8.824413905,-65.76860348
1.767,8.421924242,-66.4765303
1.783,7.643213422,-67.44303204
1.800,7.178362485,-68.2310766
1.817,6.823208551,-68.84959354
1.833,6.645789791,-69.63602291
1.850,5.979640266,-70.65061971
1.867,5.26806,-71.29509
1.883,4.485069028,-72.35628752
1.900,4.400480769,-73.34474159
1.917,3.804446108,-74.20953593
1.933,3.507708333,-75.45776786
1.950,3.254156699,-76.5520933
1.967,3.008507151,-77.72117104
1.983,2.650333002,-78.75010437
2.000,2.777223438,-79.99988559
2.017,2.38010479,-81.0977994
2.033,2.22723,-82.38717
2.050,1.667463899,-83.69784898
2.067,1.073364346,-84.79239196
2.083,0.4387138844,-85.74985955
2.100,-0.6748044525,-86.64183213
2.117,-1.114772727,-87.44659091
2.133,-2.05062299,-87.96900121
2.150,-3.420960458,-88.4499448
2.167,-4.483746973,-88.95671913
2.183,-5.831265133,-89.23374697
2.200,-7.18101553,-89.483214
2.217,-8.015512048,-89.46740964
2.233,-8.890240964,-89.74650602
2.250,-10.2585853,-89.70025531
2.267,-11.00051603,-90.12542585
2.283,-12.13752007,-90.19529807
2.300,-12.7875,-90.24545455
