"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1776,"mm"

"time","x","y"
0.000,10.50997735,-48.05757825
0.017,9.957081281,-48.19199507
0.033,9.681728395,-48.41561728
0.050,9.137489741,-48.69908186
0.067,8.889689556,-48.81488487
0.083,8.29136917,-49.15534977
0.100,7.677085909,-49.22099815
0.117,7.492290296,-49.48047903
0.133,7.219638443,-49.57368665
0.150,7.133444833,-49.78757205
0.167,6.82427499,-50.11615076
0.183,6.030154321,-50.31638889
0.200,6.0991413,-50.67394591
0.217,5.97855599,-51.09249177
0.233,5.683091862,-51.42301171
0.250,5.823302216,-51.91241793
0.267,5.588890606,-52.58026885
0.283,5.378902389,-53.18865321
0.300,5.779683623,-53.69602978
0.317,5.531660132,-54.58032914
0.333,5.581906675,-55.67065822
0.350,6.234081549,-56.90257414
0.367,6.146032318,-58.46493928
0.383,6.592635858,-60.02456258
0.400,7.119348049,-61.0461037
0.417,7.304410251,-62.24013483
0.433,7.428703704,-63.41253086
0.450,7.236667694,-64.12680333
0.467,7.573590458,-64.52166976
0.483,7.106658782,-64.7513009
0.500,7.109252172,-65.24207178
0.517,6.472741835,-65.37031315
0.533,6.478822314,-65.61120868
0.550,5.875672599,-65.83910389
0.567,5.952095376,-66.04341453
0.583,5.339739884,-66.12389554
0.600,4.95364798,-66.42709192
0.617,4.321828358,-66.84779229
0.633,3.836441469,-67.05944894
0.650,2.666232891,-67.00382103
0.667,1.9130886,-67.27665737
0.683,0.8699503311,-67.7508899
0.700,0.3612006237,-68.069579
0.717,-0.2587920648,-68.39680619
0.733,-0.5290284114,-68.48017939
0.750,-1.093264437,-68.92495326
0.767,-2.159190871,-69.15037344
0.783,-2.820322848,-69.23471647
0.800,-3.211504975,-69.57792289
0.817,-4.462375622,-69.85901741
0.833,-4.519295511,-70.16708229
0.850,-5.362344463,-70.41702095
0.867,-6.145078904,-70.59097799
0.883,-6.554937759,-70.74690871
0.900,-7.242144638,-70.77998753
0.917,-7.84193196,-71.15931648
0.933,-8.829881841,-70.86393035
0.950,-9.385043532,-70.95177239
0.967,-10.06230274,-71.00628115
0.983,-10.8201947,-71.34236744
1.000,-11.03014401,-71.33154269
1.017,-11.31872411,-71.28970588
1.033,-11.35032104,-71.32481359
1.050,-12.22599834,-71.41350874
1.067,-12.37560559,-71.19877329
1.083,-12.38180262,-71.21075654
1.100,-13.05726961,-71.3374066
1.117,-13.3749948,-71.48424636
1.133,-13.39176703,-71.50253322
1.150,-13.85710192,-71.82200396
1.167,-13.9830461,-71.95303156
1.183,-14.62325291,-72.09743136
1.200,-14.97226498,-72.09390599
1.217,-15.69190994,-72.47265528
1.233,-15.98669255,-72.5182764
1.250,-16.30901886,-72.76101844
1.267,-16.52537629,-73.0160567
1.283,-17.33586507,-73.44766142
1.300,-17.98832781,-73.83703435
1.317,-18.2107438,-73.91110537
1.333,-18.79943953,-74.06299362
1.350,-19.4541358,-74.32540123
1.367,-20.33475773,-74.5957268
1.383,-20.82886196,-74.3773521
1.400,-21.63889348,-74.72486581
1.417,-22.28340517,-74.32672414
1.433,-22.62612515,-74.45843095
1.450,-23.22401941,-74.35045417
1.467,-24.05800805,-74.03285316
1.483,-24.37395963,-74.12554348
1.500,-24.97054348,-74.00973602
1.517,-25.25536009,-73.85631965
1.533,-25.9219799,-73.89897949
1.550,-26.62647028,-73.84932418
1.567,-27.0273866,-73.7709433
1.583,-27.47382426,-73.6667698
1.600,-28.04305097,-73.57650124
1.617,-28.04454545,-73.56089876
1.633,-28.4143255,-72.99548267
1.650,-28.72238085,-72.87316146
1.667,-28.77976019,-72.67949259
1.683,-29.05963199,-72.35113076
1.700,-29.18179716,-71.89119914
1.717,-29.5540256,-71.41114781
1.733,-29.535955,-71.01459457
1.750,-29.92602612,-70.27011816
1.767,-29.88737562,-69.40926617
1.783,-30.22210341,-68.88753115
1.800,-30.10430803,-68.01564439
1.817,-30.1213713,-67.33936381
1.833,-29.45450291,-66.66482945
1.850,-30.03390025,-65.95714733
1.867,-30.16186272,-65.23412557
1.883,-29.72600958,-64.56453997
1.900,-29.65192827,-63.90784304
1.917,-29.97074624,-63.36408863
1.933,-29.79618618,-62.58799813
1.950,-29.37658788,-62.16823719
1.967,-29.39025344,-61.55423967
1.983,-29.05436483,-60.79407071
2.000,-28.4023688,-59.92682736
2.017,-28.71375313,-59.90557644
2.033,-28.35156773,-59.59781564
2.050,-27.99152251,-58.86751251
2.067,-27.8019616,-58.2850793
2.083,-27.60312108,-58.1145389
2.100,-27.68252503,-57.66146746
2.117,-27.22192572,-57.18244382
2.133,-27.4801875,-56.613
2.150,-27.34921583,-56.20365081
2.167,-26.59159204,-55.91346835
2.183,-26.60061014,-55.23246245
2.200,-26.23088327,-54.93584582
2.217,-26.76352868,-54.30551746
2.233,-26.36412162,-54.18185551
2.250,-26.3501875,-53.4136875
2.267,-26.37728697,-53.27142857
2.283,-25.90132182,-52.64943797
2.300,-25.72629418,-52.00055613
2.317,-25.54246483,-50.89733657
2.333,-25.08852357,-50.29972084
2.350,-24.78560872,-50.01090843
2.367,-24.45898324,-49.17919425
2.383,-23.97881373,-48.4036801
2.400,-24.2953492,-47.71596106
2.417,-23.59596376,-47.19192751
2.433,-23.55351031,-46.60201546
2.450,-22.40317623,-45.88656762
2.467,-22.50900185,-45.57964198
2.483,-22.13380542,-44.82426108
2.500,-21.66084702,-44.22488193
2.517,-21.96681034,-43.48134236
2.533,-21.42320552,-42.92440184
2.550,-21.13190344,-42.22037208
2.567,-20.71628168,-41.53997343
2.583,-20.36555623,-40.92105746
2.600,-19.83510638,-40.68970949
2.617,-19.28253692,-40.13632075
2.633,-18.85905031,-39.83946099
2.650,-18.12563194,-40.00457768
2.667,-17.29311036,-39.39499075
2.683,-16.60107026,-39.13047419
2.700,-16.26698191,-39.03309005
2.717,-15.07753504,-38.83618096
2.733,-14.72853328,-38.68067995
2.750,-13.5593059,-38.54355037
2.767,-12.72983129,-38.38360429
2.783,-12.04186654,-38.08885301
2.800,-10.93285407,-37.66917212
2.817,-10.37086062,-37.26328797
2.833,-9.146819951,-36.91884986
2.850,-8.122309348,-36.38968327
2.867,-7.563485222,-35.77869458
2.883,-6.353652432,-35.2940284
2.900,-5.800413097,-34.60711444
2.917,-4.545870809,-34.47516353
2.933,-4.566256635,-33.98132401
2.950,-3.885238386,-33.47866748
2.967,-3.374465377,-33.24236762
2.983,-3.002571429,-32.83803061
3.000,-2.636088957,-32.31418712
3.017,-1.814590131,-31.85037724
3.033,-0.7943154034,-31.34437653
3.050,-0.5111246944,-30.96448655
3.067,0.02415513029,-30.74948086
3.083,0.4386002445,-30.33594132
3.100,0.9823842875,-30.01347442
3.117,1.394118544,-29.59012302
3.133,1.379170057,-29.52113507
3.150,2.033517879,-29.43521434
3.167,2.129085366,-29.32143293
3.183,2.764185621,-29.32515232
3.200,2.768224726,-29.19797503
3.217,3.337225275,-29.31411783
