"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1809,"mm"

"time","x","y"
0.000,-19.42781596,-68.80329811
0.017,-19.62154321,-68.74864198
0.033,-19.54627627,-68.78648022
0.050,-20.08966584,-68.3978651
0.067,-20.65278866,-68.32597423
0.083,-20.7246535,-68.01915081
0.100,-21.09998451,-67.49719641
0.117,-21.15605936,-67.23406843
0.133,-20.88369901,-66.55162237
0.150,-20.99496592,-66.45751239
0.167,-20.834375,-65.81410891
0.183,-21.55902605,-65.27993176
0.200,-22.04235738,-64.69763849
0.217,-22.25784161,-64.09591615
0.233,-22.25216306,-63.84805532
0.250,-22.44958403,-63.36155366
0.267,-23.05750416,-62.84625312
0.283,-22.91845882,-62.59302205
0.300,-23.39898395,-62.1953366
0.317,-23.71053758,-61.97012004
0.333,-23.65539737,-61.9113423
0.350,-23.83438935,-61.84272965
0.367,-23.79137191,-61.78874529
0.383,-23.82243523,-61.54379962
0.400,-24.03138842,-61.49421751
0.417,-24.13517223,-61.3083977
0.433,-24.15516486,-61.15016694
0.450,-24.22490602,-60.92158521
0.467,-24.49179377,-60.79298475
0.483,-24.62735294,-60.52147059
0.500,-24.96717965,-59.69409548
0.517,-25.23797289,-59.19853405
0.533,-25.29615709,-58.86689189
0.550,-25.54320583,-58.46173922
0.567,-25.58907828,-58.03734217
0.583,-26.08090995,-57.54314108
0.600,-25.9542435,-56.94518022
0.617,-25.61558953,-56.43765763
0.633,-25.65197701,-56.16698123
0.650,-25.71939474,-55.52998421
0.667,-25.72296316,-55.0197
0.683,-25.70821248,-54.50326293
0.700,-26.1742703,-53.8865165
0.717,-26.30975275,-53.06725486
0.733,-26.26819433,-52.23140347
0.750,-26.51075876,-51.57085796
0.767,-26.54163851,-50.68894637
0.783,-26.79932432,-50.26304899
0.800,-27.10927215,-49.50544304
0.817,-27.00824176,-49.00885461
0.833,-27.39584735,-48.45861018
0.850,-27.45921357,-48.17508925
0.867,-28.02747473,-48.15113732
0.883,-27.77480526,-47.77580526
0.900,-27.7835244,-47.56446676
0.917,-27.87566674,-47.35998005
0.933,-28.16335084,-47.04337185
0.950,-28.37259434,-46.89677673
0.967,-28.49500735,-46.26723541
0.983,-28.3967764,-46.09907972
1.000,-29.1201,-45.76321579
1.017,-29.53755265,-45.35945661
1.033,-29.75872582,-45.03011985
1.050,-29.92479611,-44.32981493
1.067,-30.5241841,-43.48490586
