"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
2.533,-2.33537169,-36.24572811
2.550,-1.4125,-37.17631098
2.567,-1.244712121,-38.15119697
2.583,0.37050122,-39.74357971
2.600,0.8123883022,-41.34918765
2.617,1.60351833,-42.34220468
2.633,2.468145816,-43.07379163
2.650,3.397231816,-44.82176453
2.667,3.858844435,-46.27515232
2.683,4.282232034,-47.45896772
2.700,4.640415482,-48.80959468
2.717,5.368646045,-49.73776369
2.733,6.099719731,-51.25250204
2.750,6.310322086,-52.67845092
2.767,6.837193252,-53.44102761
2.783,6.971370968,-53.98010923
2.800,7.071750921,-54.95220528
2.817,7.273682598,-55.62757353
2.833,7.374846437,-56.64229115
2.850,7.838941718,-57.08406442
2.867,7.547181373,-57.78440564
2.883,7.524289947,-58.3119483
2.900,7.951574603,-58.84994395
2.917,8.005317848,-59.26974328
2.933,8.131791819,-59.99589438
2.950,7.65300427,-60.52611326
2.967,7.808290764,-61.41171332
2.983,7.769039091,-61.90774151
3.000,7.80719914,-62.7368553
3.017,8.016140279,-63.78497744
3.033,8.059763223,-64.3825492
3.050,8.095444785,-65.43081288
3.067,8.117829378,-66.23954583
3.083,7.946176591,-67.10872757
3.100,8.232659314,-68.30545343
3.117,8.036518405,-69.42740798
3.133,7.645473083,-70.36116436
3.150,7.599882892,-71.24350815
3.167,7.541196538,-72.19284623
3.183,6.8999847,-73.45518666
3.200,6.240556235,-74.37209658
3.217,6.261432059,-74.86135069
3.233,5.462510179,-75.65731881
3.250,5.285669243,-76.38878153
3.267,4.711021615,-77.26697594
3.283,3.278586691,-77.81857448
3.300,2.973502445,-78.29532396
3.317,2.486552567,-78.88933374
3.333,1.383743893,-79.41171621
3.350,0.2590158924,-80.11188875
3.367,-0.9757628153,-80.54697925
3.383,-1.558819331,-81.06897431
3.400,-2.772002447,-81.79481036
3.417,-3.404457758,-82.3575853
3.433,-3.917623782,-82.92704951
3.450,-5.525672372,-83.63450489
3.467,-6.457389841,-84.36100061
3.483,-7.109736949,-84.85714723
3.500,-7.898176554,-85.60232121
3.517,-8.675796569,-86.32867647
3.533,-9.159026359,-87.12071414
3.550,-9.691399551,-87.49598305
3.567,-10.07969262,-87.9107582
3.583,-10.67087423,-88.26998466
3.600,-10.64500308,-88.48018143
3.617,-11.20358758,-88.58674959
3.633,-11.65051356,-88.43039236
3.650,-11.71135152,-88.30616284
3.667,-12.28144996,-87.98982773
3.683,-12.55285627,-87.64788084
3.700,-12.6847926,-87.33544647
3.717,-13.23894054,-87.08261647
3.733,-13.47320991,-86.71920135
3.750,-14.00570685,-86.49098837
3.767,-14.42821283,-86.14639002
3.783,-14.84507545,-85.93207586
3.800,-15.40248162,-85.77129289
3.817,-16.48148034,-85.55515971
3.833,-17.17849265,-85.04773284
3.850,-18.14023135,-84.65498879
3.867,-19.2232332,-84.24426171
3.883,-20.40137307,-83.5570179
3.900,-21.33201888,-83.1103989
3.917,-21.84896341,-82.7725
3.933,-23.05358669,-82.2337149
3.950,-24.02396045,-81.47861562
3.967,-25.03197145,-80.93127278
3.983,-25.71462571,-80.46422905
4.000,-26.71721411,-79.931691
4.017,-27.59442136,-79.53686157
4.033,-28.21972806,-79.03888496
4.050,-28.97682039,-78.76744539
4.067,-30.47470178,-78.25409927
4.083,-30.76003136,-78.049914
4.100,-31.54811893,-77.58807646
4.117,-32.17679586,-77.05921266
4.133,-32.72310729,-76.51861336
4.150,-33.39934531,-76.12531973
4.167,-34.01536469,-75.81870683
4.183,-34.68484972,-75.40753452
4.200,-35.04285134,-74.70874289
4.217,-35.88783537,-73.76006098
4.233,-36.0403083,-72.79980159
4.250,-37.08071516,-72.00296455
4.267,-37.47096577,-70.75623472
4.283,-37.88864192,-70.15378263
4.300,-38.31003664,-68.92493893
4.317,-38.85408537,-67.98603659
4.333,-39.18169771,-67.45482501
4.350,-40.13733613,-66.62474908
4.367,-40.53569314,-65.73921499
4.383,-40.87103484,-65.01089139
4.400,-40.81418171,-64.40374282
4.417,-41.49139185,-63.72915301
4.433,-41.17669057,-63.14222336
4.450,-41.83751023,-62.57768003
4.467,-41.52472926,-61.96932468
4.483,-41.5490172,-61.32054668
4.500,-41.75973926,-60.79989264
4.517,-41.37630933,-60.4346563
4.533,-41.54133673,-59.85771429
4.550,-41.63066789,-59.40808824
4.567,-41.48107114,-58.84338716
4.583,-41.47571792,-58.24620672
4.600,-41.17635836,-57.78487485
4.617,-41.53165611,-57.69545872
4.633,-41.4616411,-57.11526074
4.650,-41.44490172,-56.4340602
4.667,-41.17073096,-55.58378378
4.683,-41.17963001,-55.20183974
4.700,-41.22593558,-54.72007669
4.717,-41.19907635,-54.13075739
4.733,-41.39203893,-53.36123975
4.750,-41.42016859,-52.67254317
4.767,-41.75825838,-51.92063573
4.783,-41.3472546,-51.14983129
4.800,-41.26298255,-50.42363963
4.817,-41.41960472,-49.77278747
4.833,-41.21743058,-48.91379645
4.850,-41.0201766,-48.43623418
4.867,-41.13252847,-47.78087129
4.883,-41.09702381,-47.02641941
4.900,-40.55547924,-46.42968559
4.917,-40.55004078,-45.73112765
4.933,-40.67619023,-45.27908153
4.950,-40.81490816,-44.67535714
4.967,-39.91101686,-43.58202458
4.983,-39.94127742,-42.93954102
5.000,-39.31725852,-42.39563718
5.017,-39.053158,-41.73817019
5.033,-38.67904457,-41.00389194
5.050,-38.67537632,-40.52001627
5.067,-37.81457742,-39.51850932
5.083,-37.46073672,-38.69402615
5.100,-37.14530488,-37.85844512
5.117,-36.71526652,-36.95917612
5.133,-36.07378247,-36.60003044
5.150,-35.92022341,-35.67347857
5.167,-34.99962611,-35.13322555
5.183,-34.77565843,-34.32237642
5.200,-33.95832996,-33.63923077
5.217,-33.644274,-33.18774301
5.233,-32.99686994,-32.18645665
5.250,-32.08687196,-31.33826985
5.267,-31.71196508,-30.64104259
5.283,-30.45295012,-29.89276156
5.300,-29.96149635,-29.39443431
5.317,-29.42192822,-28.96827859
5.333,-28.55557521,-28.56928326
5.350,-28.04086772,-28.00315534
5.367,-26.86272321,-27.88426339
5.383,-25.69656892,-27.36355804
5.400,-24.70160801,-27.14262743
5.417,-23.90389013,-27.13817786
5.433,-23.25415659,-27.0492896
5.450,-22.27895135,-27.32905228
5.467,-21.72743952,-27.21910282
5.483,-20.90113636,-27.40227273
5.500,-20.252657,-27.35609903
5.517,-19.4610478,-27.68306273
5.533,-18.17050971,-28.11286408
5.550,-17.87834479,-28.03875303
5.567,-17.01002125,-28.29744537
5.583,-16.5404721,-28.51445107
5.600,-15.96130712,-28.52815912
5.617,-15.35642495,-28.83390974
5.633,-14.24499393,-29.17223908
5.650,-13.87674242,-29.14201515
5.667,-12.78432203,-29.2315678
5.683,-12.29046559,-29.20615385
5.700,-12.09438817,-29.31910454
5.717,-11.14445344,-29.3708502
5.733,-10.29549189,-29.46652637
5.750,-9.846309235,-29.62130923
5.767,-9.252617219,-29.50492118
5.783,-8.285825893,-29.60058847
5.800,-8.059827935,-29.65220648
5.817,-7.509515378,-29.91973391
5.833,-6.744045455,-29.87822727
5.850,-6.012530266,-30.21313559
5.867,-5.33535109,-30.29863801
5.883,-4.938619855,-30.50384383
5.900,-3.986821313,-30.81630875
5.917,-3.503822816,-31.47269417
5.933,-2.832461398,-31.96979378
5.950,-1.570782582,-32.54255481
5.967,-1.033915479,-33.10082994
5.983,-0.279054878,-33.92067073
6.000,0.5846611722,-34.91582723
6.017,1.192815917,-35.73813791
6.033,2.312925791,-37.09616788
6.050,3.30156821,-38.18223203
6.067,4.487267864,-39.40344671
6.083,4.738654313,-40.93503949
6.100,5.634026656,-42.44688005
6.117,6.26711165,-43.58522451
6.133,7.291801948,-44.83426339
6.150,8.655795408,-46.35422085
6.167,9.664261711,-47.63088086
6.183,10.12655614,-48.47093165
6.200,11.10018293,-49.24801829
6.217,12.14565661,-50.05849307
6.233,13.57489273,-51.78339293
6.250,14.73612245,-52.24405102
6.267,15.8659077,-53.08930106
6.283,16.77365575,-54.41005871
6.300,17.91259259,-55.18166667
6.317,18.05611856,-55.75851031
6.333,18.50677512,-56.14512974
6.350,18.45519893,-56.94031993
6.367,18.80715454,-57.50942355
6.383,18.61553681,-58.22792945
6.400,17.95032787,-59.113125
6.417,18.1599703,-59.98987608
6.433,17.15641117,-60.28420487
6.450,17.46770362,-61.48471308
6.467,17.28664005,-62.16388206
6.483,16.60885268,-62.79015631
6.500,16.88400615,-63.85078893
6.517,16.55528826,-64.7170753
6.533,15.55485258,-65.57539926
6.550,15.13145672,-66.36212229
6.567,14.51966912,-67.15260417
6.583,14.05138436,-68.39007533
6.600,13.53521527,-69.47641145
6.617,12.79834887,-70.90772893
6.633,12.2492915,-72.06838057
6.650,11.92516734,-73.64310852
6.667,11.67165006,-75.12558459
6.683,11.41900183,-76.61820818
6.700,11.04375764,-77.82454647
6.717,10.72994304,-78.89197518
6.733,10.25223812,-80.0307704
6.750,9.44411435,-80.98237362
6.767,8.960817013,-81.40460526
6.783,8.627328431,-82.19503676
6.800,8.082510246,-82.59998975
6.817,7.166106357,-83.06466993
6.833,6.456897077,-83.27212241
6.850,5.879595663,-83.6764542
