,radar_mean_value,radar_std_value,platform_mean_value,platform_std_value,mean_error (%),std_error (%)
peak_velocity_neg_SPD_ML,26.246437486295086,9.154230628485205,0.9651682454726739,0.2911171294603429,2835.285918301637,1451.0940968649604
peak_velocity_all_SPD_ML,25.88982284101106,8.822289151732244,0.9600910417651681,0.28899794607090046,2752.4898693244104,1249.1810389720097
zero_crossing_SPD_AP,38.857142857142854,28.76009139663602,124.85714285714286,13.897584579446068,69.69943725864496,20.381713057015507
peak_velocity_pos_SPD_AP,67.35002112350995,46.80351047552391,1.1134475280094638,0.7753631107361205,7556.368441284562,6021.923913512466
peak_velocity_neg_SPD_AP,70.93436805356842,41.08306679484996,1.1257064495005422,0.7773165532696393,7730.336968826746,5085.315948992513
peak_velocity_all_SPD_AP,69.55287540824368,41.28364230182496,1.1196129082636193,0.7758239690248434,7669.405199232139,5208.045263659736
mean_peak_Sway_Density,0.08001527663988077,0.11347073433574915,1.1494670508361902,0.4415874673352374,91.13778370503996,13.721582764413633
mean_distance_peak_Sway_Density,10.09050211929762,4.949206005022868,0.342822140185986,0.2118203294574832,3798.0474712961955,2610.2947254527207
mean_frequency_ML,0.18044093757859153,0.06848432268885189,0.32671687935257715,0.09941614932185512,53.17481737770481,18.07737324014576
mean_frequency_AP,0.10779910783590636,0.026780653798712212,0.26100046359269197,0.037219136239701446,58.04084786525164,11.942848975840523
mean_frequency_ML_AND_AP,0.10130634868500821,0.02230341224247042,0.250682039773718,0.03800164206780243,58.363300718543364,13.102480437362003
total_power_Power_Spectrum_Density_ML,1543.5521416204178,1002.5260591204529,3.3867507124510796,2.5144120053666716,96322.37956022473,153802.08244734202
total_power_Power_Spectrum_Density_AP,12117.660477234831,11027.037645188182,10.658997394888038,15.404300896931968,324999.258103732,305902.6473957531
power_frequency_50_Power_Spectrum_Density_ML,0.2873876397996088,0.0769926872333674,0.31200336359628683,0.09892399662635572,38.08483557868609,21.976314477029312
power_frequency_50_Power_Spectrum_Density_AP,0.22512524451276092,0.031775159694173535,0.25546623617654485,0.03196776525507623,18.298040109805108,11.523351847431304
power_frequency_95_Power_Spectrum_Density_ML,0.8382771393099409,0.1642617459733527,1.146666290144694,0.169732572060333,28.448164065563777,15.907210281484067
power_frequency_95_Power_Spectrum_Density_AP,0.7137009400085853,0.13628810145787873,0.7681440447559117,0.07376891195288442,13.543551248401807,8.988063124564013
frequency_mode_Power_Spectrum_Density_ML,0.1676567130801796,0.00012022115349531586,0.18720201815777207,0.04793318829225192,8.754441851832077,15.20137915983384
frequency_mode_Power_Spectrum_Density_AP,0.1676567130801796,0.00012022115349531586,0.17841650546819718,0.029355565466564974,6.840552465354695,10.795169819342695
centroid_frequency_Power_Spectrum_Density_ML,0.46266262082189574,0.0847389452113174,0.5626926441873277,0.08421373237252604,24.72029299436244,10.134501840506589
centroid_frequency_Power_Spectrum_Density_AP,0.39527333947878546,0.0444363493696219,0.42179292003382735,0.029437978130067124,10.736560358467619,5.800554363515508
frequency_dispersion_Power_Spectrum_Density_ML,0.6074280602413143,0.038825201371079504,0.6365993134675085,0.05981696526867112,8.482063527081868,5.355468329624933
frequency_dispersion_Power_Spectrum_Density_AP,0.6215441658274506,0.055715415456508474,0.6058961368491055,0.03501789365458963,10.158758111536246,9.115567772563862
energy_content_below_05_Power_Spectrum_Density_ML,1210.8557933471227,730.6612986923142,2.386615736012779,1.4636354536248097,105170.65325165537,167334.31190523272
energy_content_below_05_Power_Spectrum_Density_AP,10656.050999211564,10240.402135525557,8.844547521453336,12.287926758601174,321759.25447745685,306701.95024903887
energy_content_05_2_Power_Spectrum_Density_ML,326.73084789268154,302.156267819882,0.9735960915788053,1.1775895247634083,82691.43440803383,127227.3437891038
energy_content_05_2_Power_Spectrum_Density_AP,1426.3328706811442,1442.6244039530645,1.7736704905215,3.053284586967241,412273.76368483534,619146.9903131071
energy_content_above_2_Power_Spectrum_Density_ML,5.96550038061355,3.4343513426776475,0.026538884859495186,0.03314161717930116,54834.04003918387,60215.876430815406
energy_content_above_2_Power_Spectrum_Density_AP,35.27660734212481,29.283845652157616,0.040779382913203696,0.07431664708716203,420953.1879209075,534363.9225721519
frequency_quotient_Power_Spectrum_Density_ML,0.004458713889450343,0.0030948599336445065,0.006700394944624913,0.0028939237299089294,52.6615887723738,25.64502969310994
frequency_quotient_Power_Spectrum_Density_AP,0.0033101823685030146,0.00212742293204306,0.002820900712874629,0.0009982406904079655,63.255718442477594,62.63161293767852
short_time_diffusion_Diffusion_ML,268.7951356932835,184.2429199167115,0.6953714457399949,0.5909613729817053,72854.4687669098,101684.93342680678
long_time_diffusion_Diffusion_ML,223.2662438209865,111.28361539007389,0.42657474132791745,0.22059028658366478,82819.57803822597,89491.67363132344
critical_time_Diffusion_ML,0.9118060463162629,0.3831568077520367,0.8186280930318736,0.27229851399895283,69.06477109533596,55.79218364948128
critical_displacement_Diffusion_ML,192.36174669647284,112.84840668091495,0.40713620183757293,0.2117723415731143,65100.95102289895,49335.841042029824
short_time_scaling_Diffusion_ML,0.9037210493705039,0.021464573747920546,0.8726304269459992,0.017429185026642084,3.9000056089264135,2.883150487397433
long_time_scaling_Diffusion_ML,0.24690083502933532,0.20756738263615102,0.07201048432696468,0.0974824466337129,957.6479893422867,1332.4782927353217
short_time_diffusion_Diffusion_AP,2273.355455305561,2069.3970303193205,1.6467828874078507,2.6249406934828583,446373.0329448784,468122.3490112819
long_time_diffusion_Diffusion_AP,2536.7102540726587,2554.6808153906454,1.2125679736951878,1.8599928163449195,737732.4602712893,726843.7787155446
critical_time_Diffusion_AP,1.1557894363367551,0.49828087044159947,0.8085038766849303,0.15174374219376574,75.08577692405038,55.601224454946205
critical_displacement_Diffusion_AP,2997.265356483652,3977.111657729847,1.1332707608409593,1.7410511198885958,1159021.814558292,1282307.954399759
short_time_scaling_Diffusion_AP,0.9216985825117691,0.02801826311890336,0.9012374850043765,0.01074611817803136,3.745838572078703,1.7479367455452082
long_time_scaling_Diffusion_AP,0.41030846312339575,0.21764536606381032,0.19868431012657986,0.10227419269236228,292.92629990334086,453.1169900495844
