,mean_value_ML,mean_value_AP,mean_distance_ML,mean_distance_AP,mean_distance_Radius,maximal_distance_ML,maximal_distance_AP,maximal_distance_Radius,rms_ML,rms_AP,rms_Radius,range_ML,range_AP,range_ML_AND_AP,range_ratio_ML_AND_AP,planar_deviation_ML_AND_AP,coefficient_sway_direction_ML_AND_AP,confidence_ellipse_area_ML_AND_AP,principal_sway_direction_ML_AND_AP,mean_velocity_ML,mean_velocity_AP,mean_velocity_ML_AND_AP,sway_area_per_second_ML_AND_AP,phase_plane_parameter_ML,phase_plane_parameter_AP,LFS_ML_AND_AP,fractal_dimension_ML_AND_AP,zero_crossing_SPD_ML,peak_velocity_pos_SPD_ML,peak_velocity_neg_SPD_ML,peak_velocity_all_SPD_ML,zero_crossing_SPD_AP,peak_velocity_pos_SPD_AP,peak_velocity_neg_SPD_AP,peak_velocity_all_SPD_AP,mean_peak_Sway_Density,mean_distance_peak_Sway_Density,mean_frequency_ML,mean_frequency_AP,mean_frequency_ML_AND_AP,total_power_Power_Spectrum_Density_ML,total_power_Power_Spectrum_Density_AP,power_frequency_50_Power_Spectrum_Density_ML,power_frequency_50_Power_Spectrum_Density_AP,power_frequency_95_Power_Spectrum_Density_ML,power_frequency_95_Power_Spectrum_Density_AP,frequency_mode_Power_Spectrum_Density_ML,frequency_mode_Power_Spectrum_Density_AP,centroid_frequency_Power_Spectrum_Density_ML,centroid_frequency_Power_Spectrum_Density_AP,frequency_dispersion_Power_Spectrum_Density_ML,frequency_dispersion_Power_Spectrum_Density_AP,energy_content_below_05_Power_Spectrum_Density_ML,energy_content_below_05_Power_Spectrum_Density_AP,energy_content_05_2_Power_Spectrum_Density_ML,energy_content_05_2_Power_Spectrum_Density_AP,energy_content_above_2_Power_Spectrum_Density_ML,energy_content_above_2_Power_Spectrum_Density_AP,frequency_quotient_Power_Spectrum_Density_ML,frequency_quotient_Power_Spectrum_Density_AP,short_time_diffusion_Diffusion_ML,long_time_diffusion_Diffusion_ML,critical_time_Diffusion_ML,critical_displacement_Diffusion_ML,short_time_scaling_Diffusion_ML,long_time_scaling_Diffusion_ML,short_time_diffusion_Diffusion_AP,long_time_diffusion_Diffusion_AP,critical_time_Diffusion_AP,critical_displacement_Diffusion_AP,short_time_scaling_Diffusion_AP,long_time_scaling_Diffusion_AP
0,4.613593457886762e-17,5.415421197893819e-17,0.3200100742444477,0.37954141474397923,0.5567053262473279,1.0557043746941424,1.0313979403757674,1.2064258842084672,0.40636046637952283,0.4590662845743595,0.6130829326193074,1.9124497950821855,1.911488688360899,2.2124302577107926,1.0005028053407476,0.6130829326193074,-0.3523725243603275,3.3077612401382157,35.43359790883495,0.6191840534058768,0.48361227145164204,0.872288099167529,0.15704959788782719,0.8853544156061671,0.7914069088172957,8.037865895518905,1.6286812049432615,95,0.7447836712395457,0.8423044155193672,0.7935440433794567,137,0.4854796557481025,0.5807508396983713,0.5331152477232369,1.3876326781881367,0.19382952735200507,0.34249279346250194,0.22554513596296236,0.24970372273723734,2.173503946287675,1.5990207796284845,0.32808398950131235,0.26246719160104987,0.8858267716535433,0.8530183727034121,0.2952755905511811,0.16404199475065617,0.4809361756650305,0.45317768440756173,0.5581921252036747,0.6031132398802852,1.801148679985837,1.3321145137902795,0.3639019461289548,0.2627037707504086,0.008453320172883416,0.0042024950877960566,0.0039044445755307797,0.0026350933699047633,0.35877101065310807,0.19557281897379541,0.6725548638387219,0.1748395474108945,0.9060589040413092,0.14125552140895936,0.22006943246347466,0.1156194279703888,0.5526874423392169,0.0764383829426007,0.8916734892257494,0.34894191555972115
1,-4.634255941956174e-16,5.909470443852014e-16,0.561091031320218,1.5415773226997844,1.7295685946864208,3.022113152292689,5.831109488813617,6.082311922558013,0.7249975000064017,2.040754277784316,2.1657099060840346,4.150609749795837,10.430093473546174,10.43037433400453,0.3979455946701744,2.1657099060840346,-0.11593633262027597,27.843588613012603,2.6945778570008496,1.1328319662624755,2.3213011434740847,2.754333841709147,1.12798613602802,2.2166960159962317,4.233650733446461,3.015132017000858,1.6632346178403874,165,1.3630147533515304,1.405991466618243,1.3845031099848866,134,2.7192616384474007,2.770707256839207,2.745177852223724,0.6822989056468616,0.7308638131807452,0.3573777366396707,0.2665394503028548,0.25378691912020535,8.012563296008382,44.3565860469772,0.4921259842519685,0.22965879265091863,1.279527559055118,0.7874015748031495,0.16404199475065617,0.16404199475065617,0.7020645140576504,0.45985728053316705,0.5730151605599797,0.6422713513536686,4.381622553692392,35.59087323652914,3.5315098447515423,8.558784368448581,0.09943089756444816,0.20692844199948307,0.012565301900420697,0.004686977277399149,1.8595576865573538,0.5452408273450619,0.4294061582361959,0.44019322928527627,0.8522367360796577,0.12658264303968828,7.477603277976194,5.30390897539027,0.7941779109759945,4.94947291806373,0.8952814494780168,0.15006220377570867
2,1.0243040983305541e-15,-4.0091387000352874e-17,0.659159038552527,0.930101434272457,1.2086429499075841,2.079128543072636,3.37030990423016,3.538265496662664,0.7885838665957523,1.1016277393688432,1.3547871385579415,3.8939889234215745,5.131737477886726,5.634820588501007,0.7588051688538708,1.3547871385579415,0.44603303184660636,14.73161282439166,26.317411181792348,1.15869095450405,1.3510313479409652,1.94813959561378,0.7487582577257604,1.6984892044602058,2.0989677404027285,4.03073957903588,1.6516446418993882,130,1.3538940964921793,1.281269923405004,1.3178634989915652,134,1.4647760634861184,1.389754094232879,1.4275471163378943,0.7075637994651275,0.544249745629863,0.3111520956732418,0.2571167899561322,0.2568694740540835,5.592707908995297,13.74919140579685,0.26246719160104987,0.22965879265091863,1.2139107611548556,0.8202099737532809,0.16404199475065617,0.16404199475065617,0.5366291066233122,0.4110842680246707,0.664468883893827,0.6334153633983003,4.338305391416632,11.755781124653774,1.225195756229789,1.9532461768849794,0.029206761348876713,0.04016410425809561,0.005249708874641344,0.0029297559465497193,1.1247037863348701,0.7279039732120592,0.7656542064537295,0.7031842986583048,0.8794243920467968,0.06469462335122372,1.7614716221199578,1.499981021405509,0.8994847928948113,1.4561197318069339,0.8985594279787716,0.14007551423816939
3,-2.293267792944459e-16,-7.720339098421739e-17,0.42803352439236436,0.6385795793858973,0.8301405295481308,1.2223600167504238,2.0681834918340196,2.402404413591695,0.5127087922666723,0.7699794044936686,0.9250613974282865,2.2694669103571155,3.5753895723470723,4.098541267689927,0.6347467498114671,0.9250613974282865,0.45366194062030474,6.66850283778876,23.67289964174593,0.7900346048965632,0.9566768965639477,1.3669797250748679,0.3383401970791011,1.1727856802936374,1.4289135214495414,5.879127514647257,1.653794251442045,127,0.9382274004878784,0.9906658940882637,0.9644466472880711,107,1.0060099963669462,1.0189419148233188,1.0124759555951326,0.8380471042756675,0.29500650543379653,0.3267378700729444,0.2652048143785557,0.262444043572303,2.386895467934472,5.102380947848405,0.2789400278940028,0.3138075313807531,1.2552301255230125,0.8019525801952581,0.17433751743375175,0.17433751743375175,0.6014047704448096,0.43907250891747923,0.6539527199917504,0.558441968950388,1.6440640502041175,4.364541145141677,0.7307606571813888,0.7243381797199914,0.0120707605489658,0.013501622986737433,0.005082800642686067,0.002653162341809795,0.5020143684690308,0.3491476217516726,0.8057382801562295,0.3458480234238117,0.8625825894324282,0.021980417410078886,0.8774447563313348,0.5313133592597584,0.6891962874853254,0.4441695653600437,0.9145006294116913,0.24063883606536507
4,2.6349293117770384e-16,-8.49937404407481e-17,0.692800578994477,0.4495663476062279,0.8868059030000842,1.5979430175333926,1.6134815004232501,1.8896456373377832,0.8060781783398333,0.5308681620508588,0.9651854925737958,3.0722292088801293,2.5558931742127835,3.3780157683123493,1.202017846393904,0.9651854925737959,0.10380948364498004,8.063945439417934,83.21245080768047,0.6255294974641274,0.5856500642547686,0.9446109322518148,0.30471241018919787,1.182516555067776,0.941096019037266,3.570428573871098,1.494467549775933,119,0.7921731257175053,0.7493004597832656,0.7707367927503853,128,0.6733306500893135,0.6164332534696035,0.6446579462809557,1.7155017394508232,0.1949574957052425,0.1598213804501037,0.23058960539866985,0.16975197599237113,2.8674089732454107,2.4279849629811894,0.22965879265091863,0.22965879265091863,0.9514435695538057,0.7545931758530183,0.16404199475065617,0.16404199475065617,0.46659743874599496,0.4103913221807678,0.7073439136995687,0.6283683022196506,2.5031695973832924,2.149278092351401,0.3434303957951964,0.2717493760008887,0.020808980066922438,0.0069574946288998305,0.007310117373985978,0.0028737776501292583,0.35135580924664445,0.4385968993787335,1.185299643406867,0.4719266690963231,0.8677406621051458,0.21542569965595595,0.3402538534366354,0.25909153812321745,0.8055824882442609,0.23030241209746458,0.9026765169562929,0.27241853161156737
5,3.0592812234115424e-17,-1.506510965359414e-16,0.19474880138087752,0.4710768536037961,0.5470276175696057,0.703973101694124,1.2056713467772335,1.2118334494139216,0.24356451764298717,0.5585205099793062,0.6093183357836899,1.3844000308134834,2.219187479001012,2.3509628863283254,0.6238319402544052,0.6093183357836898,0.1131336018148641,2.561957505887767,3.4735710683221797,0.5463454758628065,0.6514899293469799,0.9436544666067974,0.1633043101934961,0.7392541107303099,0.991043944698339,10.563801327729188,1.6998473131253264,150,0.6385816636555977,0.5798077311912001,0.6093919253846888,131,0.7215217716733524,0.7196661352705662,0.7205939534719592,1.6704406009333974,0.19087763141053057,0.49661942409212667,0.24482010809776594,0.2749349884024051,0.8244542188554147,3.054425265619115,0.38354253835425384,0.24407252440725244,1.3249651324965133,0.7322175732217573,0.17433751743375175,0.17433751743375175,0.6240707477021904,0.38127882453462403,0.6003338474736603,0.6183251402419786,0.563071042819917,2.8050529804629134,0.2551898455137869,0.24115624838193986,0.00619333052171074,0.008216036774261522,0.007568894725400795,0.0026971347524205056,0.21759487569548341,0.11989170109463361,0.7044249676061819,0.1188621546367262,0.8628942843647003,0.012307420740325849,0.348177423846183,0.35152204011608723,1.0070072175785756,0.3525285958162031,0.8892984862755055,0.2047414546477179
6,-2.1973164029039557e-16,1.859006775677901e-16,0.44426478298085625,0.3547733561409193,0.6156992671550177,1.233633125087116,1.2832828966381076,1.6548290503555394,0.5294144490915003,0.47377599329304226,0.7104529194307428,2.1448439165803936,2.5634746760926217,3.0919289148735323,0.8366940140207173,0.7104529194307428,0.036946900861944514,4.7510351679199125,80.80429159124786,0.7348637347379614,0.6757578724420648,1.109819963388515,0.21451785940713872,1.0932926417997544,1.0220343793780466,6.69951608965214,1.6377740855942045,113,0.8534647214508719,0.9068378277033747,0.8801512745771234,103,0.7237529202550136,0.7836916521698505,0.7537222862124321,1.044784527893317,0.24997026258971955,0.2928168550774508,0.3371873410519034,0.2872831545374207,1.8497211758309038,4.323392355365031,0.20920502092050208,0.2789400278940028,1.1157601115760112,0.6276150627615062,0.17433751743375175,0.24407252440725244,0.5271457560723056,0.39768855163852096,0.698888543450099,0.5573375918994667,1.474928836587265,3.914191557244168,0.3651841954509795,0.4037153134637107,0.00960814379265924,0.005485484657152674,0.005221496519709201,0.001270403651909561,0.4536025832234744,0.6096693475394663,1.1673185315251895,0.5950994903516744,0.877475420551957,-0.07817293531747882,0.502459845681176,0.4265394536010847,0.911390997276328,0.4238637197997397,0.9166723957046089,0.03391171498780997
7,-1.7773442528740692e-17,1.7915383215602165e-16,1.6763987119702264,1.749343212081837,2.7006204077889264,3.8177973738703948,4.408108678287764,4.409187848198244,1.9641144244237942,1.9923770734939819,2.7977333459810025,7.393810762558306,7.9110495425155225,8.032102548197775,0.9346181847076706,2.7977333459810025,0.10714321386390015,73.7169957399888,41.198629475739075,4.103765162092377,4.285198697806126,6.588589204625481,8.407165365676393,5.360541530595432,5.561333922590865,2.7242048721750467,1.841050156395878,27,6.184580252579029,9.245645574827327,7.715112913703178,40,5.765420844698384,5.763545691794522,5.7644592278246085,0.10703231253879411,2.124571574741318,0.433311791311795,0.4336019887968749,0.3887938005904495,93.2970794591969,111.56220306098487,0.39370078740157477,0.39370078740157477,0.5249343832020997,0.5249343832020997,0.39370078740157477,0.39370078740157477,0.43647833001640296,0.42583714238530335,0.33386906865341415,0.2977775287905712,87.01982261134124,105.38370902306264,6.20280889608239,6.10196652588734,0.0744479517732762,0.07652751203491066,0.0007986038429664762,0.0006864335858225102,20.90546591127782,2.8493189260978102,0.275951630100747,1.723307823103972,0.9692068034830208,0.19527099165058195,22.79576878818699,4.317886249266458,0.3778705362597673,3.4477713239135497,0.9704273776524366,0.11561709707112082
8,1.391479524196863e-16,7.178825435340109e-16,1.6034692788197447,1.4703894953247236,2.4184091498741602,3.484406779920243,3.324851525299483,3.4852045928041204,1.8186223099229837,1.6693739299807189,2.4686426278926805,6.918268853379939,6.550284029956275,6.931836078545112,1.0561784529862777,2.4686426278926805,0.0788641833718393,57.3663730148736,68.69756605974352,4.082501910928638,3.6371195296430945,6.098010968321046,6.871416688261344,5.055496891258318,4.7214331790756,3.0486667603354136,1.8487882208479616,28,6.159580041398556,7.106531123507956,6.650591713603431,32,7.175992072681797,5.744837464088594,6.437331629536917,0.10377505913560232,1.8832194097765558,0.45070969210360223,0.43788122731370577,0.40186916905400344,90.2324829416686,76.6872321760058,0.38354253835425384,0.38354253835425384,0.5230125523012552,0.5230125523012552,0.38354253835425384,0.38354253835425384,0.4249758615301863,0.44008147491283733,0.27062893041227426,0.3353194073398246,85.61035256285605,71.64834323296542,4.575461281805773,4.905464240974466,0.046669097006760106,0.13342470206592694,0.0005174771398874779,0.0017428878650006638,19.407794862453397,1.5991150595331696,0.14512906675403736,0.4491177079764736,0.9756186129642144,0.3289725206977337,15.956314444998537,4.961364211063859,0.5560331235477955,5.140998788099227,0.9648614469038687,-0.030299003892341927
9,-3.9721312658811153e-17,1.2335811384723962e-16,1.8443663265739343,1.839313968722694,2.884559348017857,4.3221974074092575,3.7663704100149866,4.687617900349181,2.094674453708602,2.090192219823606,2.9591493005305707,8.18507959530379,7.498206667666605,8.892103870932987,1.091604960770031,2.9591493005305707,0.1684655744543835,81.80255515566351,45.36334877786325,4.452515156258745,4.3380679572388905,6.972891948851637,9.266433496759824,5.725408847074224,5.7366933800919835,2.444697976884887,1.826520434889191,33,6.99346556275016,7.449713259721908,7.221589411236034,42,6.524778764088314,5.592318440471684,6.069920069641176,0.10077504509779155,2.2248755135316376,0.42735556742666325,0.41751456088759675,0.3852651464698455,116.6841361572417,112.08613823757669,0.38354253835425384,0.38354253835425384,0.5230125523012552,0.5230125523012552,0.38354253835425384,0.38354253835425384,0.4275400874679162,0.4318321144036877,0.3206846810142209,0.35930811345030983,109.11452406779647,104.2056364823183,7.466722514990682,7.756510756281489,0.10288957445454121,0.12399099897690075,0.0008825568217052547,0.0011074367724715618,23.976778104959017,2.914243759581201,0.23449133849495185,1.4374030027910423,0.970205024778094,0.24365803318066653,22.57615336714093,7.722481287921322,0.5841546618055704,8.052590176193439,0.9588174517892591,-0.03893126446521879
