,radar_mean_value,radar_std_value,platform_mean_value,platform_std_value,mean_error (%),std_error (%)
mean_peak_Sway_Density,0.11194682870792541,0.03184129134189604,0.12567934115300622,0.03441115183694467,17.503136876020783,8.391223896550034
mean_distance_peak_Sway_Density,2.0760444316295934,0.3155059970240385,2.1135418254039746,0.16233890500290712,7.781333453286208,7.720906297451747
mean_frequency_ML,0.2918309083976963,0.054493065001736736,0.31281195213088014,0.02801299795013141,13.434544546514688,8.099191773297004
mean_frequency_AP,0.290762889766323,0.026185104762358177,0.343223517287446,0.020131685709972372,15.168457562895565,7.896338024354631
mean_frequency_ML_AND_AP,0.24462252901182005,0.014869283381964023,0.29557248183822704,0.024464583419267806,16.92523858159255,7.033717760280148
total_power_Power_Spectrum_Density_ML,49.12751949516752,16.441838272958975,55.55358918456382,17.57295544917056,11.909099622616916,3.2849133203782594
total_power_Power_Spectrum_Density_AP,46.98499219098676,21.299435363154792,63.900320550197684,27.944747852610803,24.813142817663085,18.769969958532275
power_frequency_50_Power_Spectrum_Density_ML,0.25406504065040647,0.05867380784447416,0.24723163310119825,0.05682493324103487,2.743890966852083,0.2032525794986915
power_frequency_50_Power_Spectrum_Density_AP,0.27947154471544716,0.05081300813008129,0.2967367777150386,0.0005881799360060447,9.891565556571408,14.36437342778277
power_frequency_95_Power_Spectrum_Density_ML,0.3302845528455285,0.0508130081300813,0.4700537988581466,0.14959376372419855,26.168648266875106,22.07201020059454
power_frequency_95_Power_Spectrum_Density_AP,0.33028455284552843,0.0508130081300813,0.42035259426563765,0.0491512629901261,21.793648951001295,14.54066484932916
frequency_mode_Power_Spectrum_Density_ML,0.22865853658536583,0.05081300813008129,0.24723163310119825,0.05682493324103487,9.891563332335402,14.364374921152125
frequency_mode_Power_Spectrum_Density_AP,0.27947154471544716,0.05081300813008129,0.2967367777150386,0.0005881799360060447,9.891565556571408,14.36437342778277
centroid_frequency_Power_Spectrum_Density_ML,0.28228151414699265,0.016690978134797856,0.3143283399168714,0.03224118443267983,13.718626777524186,7.567901224130502
