time,x_pos,y_pos
0.0,349.66424838688005,9.227207352045781
0.05813953488372093,337.5707709159498,8.684061087362583
0.11627906976744186,313.4689813083917,7.597768557996188
0.1744186046511628,286.5567356688568,6.620105281566431
0.23255813953488372,256.8766166644963,5.751071258073315
0.29069767441860467,227.239080327287,4.882037234580198
0.3488372093023256,197.60154399007772,4.013003211087083
0.4069767441860465,167.96400765286842,3.035339934657327
0.46511627906976744,163.32249693339168,1.9490474052909317
0.5232558139534884,183.63442916449637,0.8627548759245354
0.5813953488372093,203.90377872844985,-0.22353765344186094
0.6395348837209303,224.17312829240333,-1.3098301828082555
0.6976744186046512,244.65539119211263,-2.396122712174652
0.7558139534883721,254.70490063978707,-3.4824152415410463
0.813953488372093,253.89582996391496,-4.568707770907443
0.872093023255814,252.87384595228707,-5.655000300273837
0.9302325581395349,251.85186194065915,-6.849922082576871
0.9883720930232558,250.8724605961824,-8.153473117816546
1.0465116279069768,249.93564191885682,-9.45702415305622
1.1046511627906976,248.99882324153123,-10.651945935359254
1.1627906976744187,248.10458723135682,-11.73823846472565
1.2209302325581395,247.2955165554847,-12.824530994092044
1.2790697674418605,246.57161121391496,-13.91082352345844
1.3372093023255813,245.89028853949634,-14.997116052824833
1.3953488372093024,245.25154853222892,-16.083408582191232
1.4534883720930232,244.65539119211263,-17.169701111557625
1.5116279069767442,244.05923385199634,-17.386959617430904
1.569767441860465,241.7171871586824,-16.735184099811068
1.627906976744186,237.5866684450196,-16.19203783512787
1.6860465116279069,233.41356706420567,-15.757520823381313
1.744186046511628,229.24046568339168,-16.300667088064515
1.8023255813953487,225.06736430257774,-17.712847376240827
1.8604651162790697,220.8516802546126,-19.016398411480505
1.9186046511627908,216.59341353949634,-20.42857869965682
1.9767441860465116,212.33514682438005,-21.94938824076977
2.0348837209302326,208.07688010926375,-23.470197781882725
2.0930232558139537,203.8186133941475,-24.991007322995685
2.1511627906976742,199.56034667903123,-26.403187611171994
2.2093023255813953,195.2169146296126,-27.706738646411672
2.2674418604651163,190.70315191158934,-28.901660428714706
2.3255813953488373,186.01905852496142,-29.98795295808111
2.383720930232558,181.1646344697289,-31.07424548744749
2.441860465116279,188.53143588688008,-32.160538016813895
2.5,208.16204544356614,-33.2468305461803
2.558139534883721,227.7500723331011,-33.355459799116936
2.6162790697674416,248.44524856856606,-32.377796522687184
2.6744186046511627,270.24757414996145,-31.291503993320788
2.7325581395348837,269.2255901383336,-30.096582211017747
2.7906976744186047,245.37929653368252,-28.793031175778076
2.8488372093023258,221.5330029290313,-27.489480140538397
2.9069767441860463,197.72929199153145,-26.185929105298733
2.9651162790697674,173.96816372118258,-24.773748817122417
3.0232558139534884,150.2070354508337,-23.144310023072826
3.0813953488372094,126.44590718048497,-21.29761272314995
3.13953488372093,124.52968715868266,-19.342286170290446
3.197674418604651,144.4583753854269,-17.386959617430932
3.255813953488372,139.518785995892,-15.431633064571415
3.313953488372093,113.7136897022873,-13.584935764648542
3.3720930232558137,91.91136412089207,-11.955496970598958
3.4302325581395348,70.10903853949668,-10.65194593535928
3.488372093023256,48.306712958101286,-9.674282658929524
3.546511627906977,49.41386230403157,-8.913877888373044
3.6046511627906974,73.43048657728724,-8.262102370753212
3.6627906976744184,74.06922658455437,-7.610326853133376
3.7209302325581395,51.33008232583336,-7.067180588450174
3.7790697674418605,28.590938067112404,-6.632663576703617
3.8372093023255816,7.555100494437909,-6.198146564957058
3.895348837209302,-11.777430392189842,-5.655000300273864
3.953488372093023,-31.06737861166664,-5.003224782654025
4.011627906976744,-50.3147441639922,-4.351449265034187
4.069767441860465,-69.56210971631782,-3.6996737474143497
4.127906976744186,-88.76689260149226,-3.0478982297945123
4.186046511627907,-89.53338061021321,-2.287493459238032
4.2441860465116275,-71.90415640963204,-1.4184594357449285
4.3023255813953485,-54.274932209050576,-0.6580546651884482
4.3604651162790695,-60.279088277364565,-0.006279147568609034
4.4186046511627906,-89.91662461457395,-0.22353765344188758
4.476744186046512,-119.55416095178327,-1.3098301828082732
4.534883720930233,-149.1916972889926,-2.3961227121746695
4.593023255813954,-178.8718162933531,-3.4824152415410676
4.651162790697675,-208.5945179648648,-4.568707770907464
4.709302325581396,-238.27463696922536,-5.655000300273862
4.767441860465116,-267.9121733064342,-6.741292829640242
4.825581395348837,-297.54970964364355,-7.82758535900664
4.883720930232558,-327.1872459808529,-8.913877888373037
4.941860465116279,-356.86736498521344,-10.000170417739433
5.0,-386.5900666567251,-11.086462947105833
5.058139534883721,-416.3127683282368,-12.17275547647223
5.116279069767442,-446.0354699997485,-13.259048005838626
5.174418604651163,-475.7581716712602,-14.345340535205022
5.232558139534883,-505.4382906756203,-14.453969788141663
5.290697674418604,-530.8175602977133,-13.476306511711904
5.348837209302325,-526.8573722526551,-12.390013982345508
5.406976744186046,-497.77341058841097,-11.19509220004247
