Time_s,Vmax_m_s
0.0,0.049079816365979384
0.05813953488372093,0.049079816365979384
0.11627906976744186,0.049079816365979384
0.1744186046511628,0.04530444587628866
0.23255813953488372,0.04530444587628866
0.29069767441860467,0.04152907538659794
0.3488372093023256,0.04152907538659794
0.4069767441860465,0.037753704896907214
0.46511627906976744,0.037753704896907214
0.5232558139534884,0.033978334407216496
0.5813953488372093,0.030202963917525773
0.6395348837209303,0.030202963917525773
0.6976744186046512,0.02642759342783505
0.7558139534883721,0.02642759342783505
0.813953488372093,0.02265222293814433
0.872093023255814,0.018876852448453607
0.9302325581395349,0.007550740979381443
0.9883720930232558,0.0037753704896907217
1.0465116279069768,-0.04530444587628866
1.1046511627906976,-0.049079816365979384
1.1627906976744187,-0.049079816365979384
1.2209302325581395,-0.0528551868556701
1.2790697674418605,-0.05663055734536082
1.3372093023255813,-0.05663055734536082
1.3953488372093024,-0.06040592783505155
1.4534883720930232,-0.06040592783505155
1.5116279069767442,-0.06418129832474227
1.569767441860465,-0.06418129832474227
1.627906976744186,-0.06418129832474227
1.6860465116279069,-0.06418129832474227
1.744186046511628,-0.06418129832474227
1.8023255813953487,-0.06418129832474227
1.8604651162790697,-0.06418129832474227
1.9186046511627908,-0.06418129832474227
1.9767441860465116,-0.06418129832474227
2.0348837209302326,-0.06040592783505155
2.0930232558139537,-0.06040592783505155
2.1511627906976742,-0.05663055734536082
2.2093023255813953,-0.0528551868556701
2.2674418604651163,-0.0528551868556701
2.3255813953488373,-0.049079816365979384
2.383720930232558,-0.04530444587628866
2.441860465116279,-0.04152907538659794
2.5,-0.037753704896907214
2.558139534883721,-0.037753704896907214
2.6162790697674416,-0.033978334407216496
2.6744186046511627,-0.030202963917525773
2.7325581395348837,-0.02642759342783505
2.7906976744186047,-0.02642759342783505
2.8488372093023258,-0.02265222293814433
2.9069767441860463,0.018876852448453607
2.9651162790697674,0.02265222293814433
3.0232558139534884,0.02265222293814433
3.0813953488372094,0.02642759342783505
3.13953488372093,0.033978334407216496
3.197674418604651,0.037753704896907214
3.255813953488372,0.04152907538659794
3.313953488372093,0.04530444587628866
3.3720930232558137,0.04530444587628866
3.4302325581395348,0.049079816365979384
3.488372093023256,0.049079816365979384
3.546511627906977,0.0528551868556701
